clusterId,conceptName,catalogGaps,pendingBefore,designSelections,pendingAfter,researchConflicts,quantityReady,gramsReady,blocker
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","1","0","0","0","0","NO","NO","CATALOG_GAP"
"dcluster_87b96a2fc22b24da2b6baa44","Нежный омлет с помидорами","1","0","0","0","0","NO","NO","CATALOG_GAP"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","2","0","0","0","0","NO","NO","CATALOG_GAP"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","1","1","0","1","0","NO","NO","CATALOG_GAP"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","2","3","0","3","0","NO","NO","CATALOG_GAP"
"dcluster_8c521f996b1e8844f530ff12","Жульен с курицей и грибами в духовке","0","0","0","0","0","NO","NO","PRODUCT_COMPLETE_QUANTITY_NOT_READY"
"dcluster_f56bdfce184d826f0612295b","Омлет на кефире на сковороде","0","1","0","1","0","NO","NO","OWNER_OR_NO_SAFE_DESIGN_CHOICE"
"dcluster_6e5245d7ad0ff5db0075c6bb","Творожная запеканка с манкой и сметаной","4","12","0","12","6","NO","NO","RESEARCH_CONFLICT"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","1","15","0","15","5","NO","NO","RESEARCH_CONFLICT"
"dcluster_373bb4326fab32d1fd0f4cf4","Сырники без яиц с манкой","8","3","0","3","0","NO","NO","CATALOG_GAP"
"dcluster_7f8a3c5cbd2cf72b64264e79","Пышные сырники с манкой","4","5","0","5","0","NO","NO","CATALOG_GAP"
